company,sector,cpc_code,n_total,quality_avg,quality_norm_avg,n_years,name_clean
Acushnet Company,Life Sciences,0,1930,0.57727844,0.7692105,19,acushnet
"FUJI ELECTRIC CO., LTD.",Technology,7,1928,0.33166322,-1.0142106,19,fuji electric
"Rockwell Automation Technologies, Inc.",Technology,6,1926,0.6119594,0.4322778,18,rockwell automation
InterDigital Technology Corporation,Technology,7,1923,0.64012414,0.59894735,19,interdigital
"Minolta Co., Ltd.",Technology,6,1911,0.43621784,-0.46735713,14,minolta
Bank of America Corporation,Technology,6,1907,0.6684071,0.73817647,17,bank of america
"Oracle America, Inc.",Technology,6,1900,0.62916696,0.4671111,9,oracle america
NCR Corporation,Technology,6,1874,0.47478727,-0.2619474,19,ncr
"DAIKIN INDUSTRIES, LTD.",Industrial,5,1873,0.21413957,-0.985421,19,daikin industries
"VIA Technologies, Inc.",Technology,6,1873,0.43388784,-0.5022632,19,via
"Ethicon Endo-Surgery, Inc.",Life Sciences,0,1872,0.7624695,1.6056316,19,ethicon endo surgery
HARRIS CORPORATION,Technology,7,1862,0.59414536,0.3486316,19,harris
AT&T Mobility II LLC,Technology,7,1858,0.64473385,0.57100004,12,at t mobility ii
FANUC CORPORATION,Industrial,1,1854,0.26167646,-0.6325263,19,fanuc
Schaeffler Technologies AG & Co. KG,Industrial,5,1852,0.2635881,-0.77066666,9,schaeffler kg
Kao Corporation,Life Sciences,0,1851,0.22378176,-0.86252636,19,kao
"Cree, Inc.",Technology,7,1846,0.66703176,0.71105266,19,cree
FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,Technology,6,1844,0.3529181,-0.9237369,19,fraunhofer gesellschaft zur f rderung der angewandten forschung e v
"TOYOTA MOTOR ENGINEERING & MANUFACTURING NORTH AMERICA, INC.",Industrial,1,1838,0.45143202,0.34491667,12,toyota motor engineering manufacturing north america
THE GOODYEAR TIRE & RUBBER COMPANY,Industrial,1,1823,0.28605667,-0.53452635,19,goodyear tire rubber
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",Technology,7,1812,0.4649245,-0.3268421,19,semiconductor components industries
"Rockwell Collins, Inc.",Technology,6,1806,0.51353806,-0.076684214,19,rockwell collins
Sprint Spectrum LP,Technology,7,1803,0.58910704,0.3207059,17,sprint spectrum lp
Avago Technologies General IP (Singapore) Pte. Ltd.,Technology,7,1794,0.54466474,0.07153846,13,avago general ip singapore pte
THALES,Technology,6,1794,0.30454925,-1.152125,16,thales
Marvell World Trade Ltd.,Technology,7,1788,0.6734575,0.73785716,14,marvell world trade
BLACK & DECKER INC.,Industrial,1,1785,0.5348568,1.0131578,19,black decker
"Red Hat, Inc.",Technology,6,1763,0.6292866,0.5089333,15,red hat
Rambus Inc.,Technology,6,1762,0.70693696,0.9400526,19,rambus
"Cadence Design Systems, Inc.",Technology,6,1761,0.62961847,0.54210526,19,cadence design
HOFFMANN-LA ROCHE INC.,Life Sciences,2,1760,0.2159001,-0.905421,19,hoffmann la roche
"TOYODA GOSEI CO., LTD.",Industrial,1,1757,0.3333402,-0.20947368,19,toyoda gosei
Empire Technology Development LLC,Technology,6,1757,0.4826325,-0.26533332,9,empire development
HOYA CORPORATION,Technology,6,1744,0.31210908,-1.1316315,19,hoya
"NetApp, Inc.",Technology,6,1738,0.70927525,0.8896364,11,netapp
SHIMANO INC.,Industrial,1,1730,0.40246955,0.22973683,19,shimano
KOMATSU LTD.,Industrial,4,1726,0.31228513,-0.35705262,19,komatsu
VMware LLC,Technology,6,1710,0.6574466,0.6593125,16,vmware
"Siemens Medical Solutions USA, Inc.",Technology,6,1708,0.49588314,-0.17405555,18,siemens medical solutions usa
"WARSAW ORTHOPEDIC, INC.",Life Sciences,0,1706,0.79104877,1.5033076,13,warsaw orthopedic
"SUMITOMO RUBBER INDUSTRIES, LTD.",Industrial,1,1697,0.18951294,-1.119,19,sumitomo rubber industries
